SYMBOL,Industry,Sector,fiftyTwoWeekHigh,marketCap,dividend Rate,trailing PE,forward PE,priceToSales,Profit Margins,Operating Margins,Revenue Growth,Earnings Growth,ROA,ROE,Volume,DebtToEquity
PNBHOUSING,Mortgage Finance,Financial Services,1202.2,246266216448,,14.705198,13.958026,7.5388927,0.51435,0.74957,0.191,0.223,0.0231,0.111719996,8266556,249.104
CYIENT,Conglomerates,Industrials,2458.95,197852135424,30.0,30.210012,19.85096,2.7452774,0.09149,0.12476,0.04,0.002,0.08180001,0.13802,2125796,10.214
TBOTEK,Rental & Leasing Services,Industrials,2001.0,170736386048,,80.6571,46.538353,11.545167,0.14555,0.195,0.259,0.241,,,33550,38.63
CANFINHOME,Mortgage Finance,Financial Services,951.75,116023558144,8.0,13.811496,26.045622,9.017408,0.63754004,0.8225,0.331,0.338,0.022149999,0.18937999,752292,716.121
CELLO,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1025.0,185543426048,1.5,52.099117,35.448883,9.1439085,0.16569,0.22994,0.061,0.066,,,221740,27.062
MANYAVAR,Apparel Manufacturing,Consumer Cyclical,1487.9,313011535872,8.5,79.984245,,24.157026,0.29691,0.31489,-0.23,-0.322,,,114847,27.744
NH,Medical Care Facilities,Healthcare,1444.9,251173765120,4.0,31.151133,27.013979,4.9002123,0.15738,0.18062,0.087,0.095,,,194206,56.383
CUB,Banks - Regional,Financial Services,176.82,126654914560,1.0,12.05074,11.899792,4.5400734,0.37908,0.48481,0.112,0.019,0.01526,0.12611,5028623,
AADHARHFC,Mortgage Finance,Financial Services,516.8,180534591488,,25.981424,,10.940031,0.48689,0.6162,0.279,0.294,,,1503093,313.69
EMAMILTD,Household & Personal Products,Consumer Defensive,860.0,291123724288,8.0,38.17268,,7.9574614,0.20185,0.18992001,0.097,0.118,,,528395,3.823
CHALET,Lodging,Consumer Cyclical,958.0,184341495808,,217.13368,47.160805,12.552637,0.17035,0.28062,0.162,-0.356,,,2751543,162.366
LATENTVIEW,Consulting Services,Industrials,575.0,94120214528,,55.873116,,14.00834,0.24515,0.19753,0.211,0.182,,,313375,1.746
AAVAS,Mortgage Finance,Financial Services,1978.95,133440593920,,26.180012,21.375942,11.1885605,0.42516997,0.53865004,0.088,0.148,,,182718,328.579
AIAENG,Specialty Industrial Machinery,Industrials,4949.95,369828593664,16.0,32.786842,29.048294,7.980509,0.24229,0.25834,-0.177,-0.047,,,20344,6.914
BAYERCROP,Agricultural Inputs,Basic Materials,7196.85,285292199936,140.0,42.734856,,5.7117844,0.13338,0.17932,-0.062,-0.226,,,24180,1.653
CREDITACC,Credit Services,Financial Services,1796.0,158437654528,10.0,11.778471,20.843067,5.4010134,0.4548,0.45886,-0.246,-0.465,0.05277,0.20868999,359872,275.798
IPCALAB,Drug Manufacturers - Specialty & Generic,Healthcare,1708.65,401575378944,4.0,69.453705,33.627575,4.8893304,0.07022,0.14041,0.318,0.181,,,197010,18.615
BSOFT,Information Technology Services,Technology,861.85,166177816576,5.0,25.973171,19.633896,3.075038,0.11452,0.12066,0.064,-0.127,0.11505,0.20715,3805925,4.472
ROUTE,Telecom Services,Communication Services,1942.45,95816597504,14.0,25.382153,18.974327,2.2501824,0.09,0.10143,0.097,0.191,0.078,0.18146999,94968,23.815
CRISIL,Financial Data & Stock Exchanges,Financial Services,5268.5,371499368448,60.0,55.555553,45.357143,11.379594,0.20507999,0.26662,0.103,0.129,,,71226,1.999
AEGISLOG,Oil & Gas Refining & Marketing,Energy,970.0,262354960384,9.0,45.05425,,3.7148702,0.08267,0.10659,0.418,-0.008,0.06091,0.15681,199043,92.2
NAM-INDIA,Asset Management,Financial Services,748.6,436927365120,16.0,33.00484,,18.063807,0.54557,0.7047,0.456,0.432,0.24579,0.34569,4596691,
CONCORDBIO,Biotechnology,Healthcare,2664.0,192902004736,8.75,60.246666,,18.585562,0.30176002,0.31557,0.108,0.094,,,97369,0.638
ZENSARTECH,Information Technology Services,Technology,839.5,156824174592,9.0,24.15669,,3.1177769,0.12895,0.13096,0.054,-0.104,0.095769994,0.18643999,569106,3.964
JMFINANCIL,Capital Markets,Financial Services,168.75,135401168896,2.0,28.596603,,4.899378,0.15003,0.37662,0.144,0.029,,,29718344,146.777
AJANTPHARM,Drug Manufacturers - Specialty & Generic,Healthcare,3485.0,370901221376,36.0,43.859676,29.90834,8.560728,0.19707,0.25887,0.121,0.181,,,67581,1.033
KIMS,Medical Care Facilities,Healthcare,580.0,212834009088,,66.25475,47.13706,8.247642,0.12243,0.20395,0.136,0.071,,,170673,64.748
TIMKEN,Tools & Accessories,Industrials,4817.9,261046517760,2.5,63.691666,141.76619,8.772727,0.13385999,0.15187,0.092,0.068,,,42027,1.049
